,seconds,date,hr,diff
0,80.802,[2023-09-08 19:19:20 454],74.0,
1,81.302,[2023-09-08 19:19:20 954],74.0,0.5
2,81.802,[2023-09-08 19:19:21 454],74.0,0.5
3,82.302,[2023-09-08 19:19:21 954],75.0,0.5
4,82.802,[2023-09-08 19:19:22 454],75.0,0.5
5,83.302,[2023-09-08 19:19:22 954],75.0,0.5
6,83.802,[2023-09-08 19:19:23 454],74.0,0.5
7,84.302,[2023-09-08 19:19:23 954],74.0,0.5
8,84.802,[2023-09-08 19:19:24 454],73.0,0.5
9,85.302,[2023-09-08 19:19:24 954],73.0,0.5
10,85.802,[2023-09-08 19:19:25 454],73.0,0.5
11,86.302,[2023-09-08 19:19:25 954],73.0,0.5
12,86.802,[2023-09-08 19:19:26 454],73.0,0.5
13,87.302,[2023-09-08 19:19:26 954],73.0,0.5
14,87.802,[2023-09-08 19:19:27 454],73.0,0.5
15,88.302,[2023-09-08 19:19:27 954],73.0,0.5
16,88.802,[2023-09-08 19:19:28 454],73.0,0.5
17,89.302,[2023-09-08 19:19:28 954],73.0,0.5
18,89.802,[2023-09-08 19:19:29 454],73.0,0.5
19,90.302,[2023-09-08 19:19:29 954],73.0,0.5
20,90.802,[2023-09-08 19:19:30 454],73.0,0.5
21,91.302,[2023-09-08 19:19:30 954],73.0,0.5
22,91.802,[2023-09-08 19:19:31 454],73.0,0.5
23,92.302,[2023-09-08 19:19:31 954],73.0,0.5
24,92.802,[2023-09-08 19:19:32 454],73.0,0.5
25,93.302,[2023-09-08 19:19:32 954],73.0,0.5
26,93.802,[2023-09-08 19:19:33 454],73.0,0.5
27,94.302,[2023-09-08 19:19:33 954],73.0,0.5
28,94.802,,73.0,
29,95.302,,73.0,
30,95.802,[2023-09-08 19:19:35 454],73.0,1.5
31,96.302,[2023-09-08 19:19:35 954],73.0,0.5
32,96.802,[2023-09-08 19:19:36 454],73.0,0.5
33,97.302,[2023-09-08 19:19:36 954],73.0,0.5
34,97.802,[2023-09-08 19:19:37 454],73.0,0.5
35,98.302,[2023-09-08 19:19:37 954],73.0,0.5
36,98.802,[2023-09-08 19:19:38 454],73.0,0.5
37,99.302,[2023-09-08 19:19:38 954],73.0,0.5
38,99.802,[2023-09-08 19:19:39 454],73.0,0.5
39,100.302,[2023-09-08 19:19:39 954],73.0,0.5
40,100.802,,73.0,
41,101.302,,73.0,
42,101.802,,73.0,
43,102.302,,73.0,
44,102.802,,73.0,
45,103.302,,73.0,
46,103.802,,73.0,
47,104.302,,73.0,
48,104.802,,73.0,
49,105.302,,73.0,
50,105.802,,73.0,
51,106.302,,73.0,
52,106.802,[2023-09-08 19:19:46 454],73.0,6.5
53,107.302,[2023-09-08 19:19:46 954],73.0,0.5
54,107.802,[2023-09-08 19:19:47 454],73.0,0.5
55,108.302,[2023-09-08 19:19:47 954],73.0,0.5
56,108.802,[2023-09-08 19:19:48 454],73.0,0.5
57,109.302,[2023-09-08 19:19:48 954],73.0,0.5
58,109.802,[2023-09-08 19:19:49 454],73.0,0.5
59,110.302,[2023-09-08 19:19:49 954],73.0,0.5
60,110.802,[2023-09-08 19:19:50 454],73.0,0.5
61,111.302,[2023-09-08 19:19:50 954],73.0,0.5
62,111.802,[2023-09-08 19:19:51 454],73.0,0.5
63,112.302,[2023-09-08 19:19:51 954],73.0,0.5
