,seconds,date,hr,activity_load_2d,activity_load_3d
0,2520.302,[2023-09-08 19:59:59 954],131.0,0.0271,0.0341
1,2521.302,[2023-09-08 20:00:00 954],130.0,0.1677,0.1908
2,2522.302,[2023-09-08 20:00:01 954],130.0,0.0569,0.0672
3,2523.302,[2023-09-08 20:00:02 954],130.0,0.0925,0.1454
4,2524.302,[2023-09-08 20:00:03 954],130.0,0.1308,0.2314
5,2525.302,[2023-09-08 20:00:04 954],129.0,0.0516,0.0632
6,2526.302,[2023-09-08 20:00:05 954],129.0,0.1032,0.1363
7,2527.302,[2023-09-08 20:00:06 954],128.0,0.0862,0.1267
8,2528.302,[2023-09-08 20:00:07 954],127.0,0.0072,0.0098
9,2529.302,[2023-09-08 20:00:08 954],126.0,0.0293,0.0332
10,2530.302,[2023-09-08 20:00:09 954],125.0,0.109,0.1309
11,2531.302,[2023-09-08 20:00:10 954],125.0,0.0283,0.0357
12,2532.302,[2023-09-08 20:00:11 954],126.0,0.0099,0.013
13,2533.302,[2023-09-08 20:00:12 954],127.0,0.179,0.2234
14,2534.302,[2023-09-08 20:00:13 954],126.0,0.032,0.0431
15,2535.302,[2023-09-08 20:00:14 954],125.0,0.0281,0.0394
16,2536.302,[2023-09-08 20:00:15 954],126.0,0.0273,0.0352
17,2537.302,[2023-09-08 20:00:16 954],127.0,0.0226,0.0318
18,2538.302,[2023-09-08 20:00:17 954],126.0,0.0322,0.0425
19,2539.302,[2023-09-08 20:00:18 954],125.0,0.0368,0.0471
20,2540.302,[2023-09-08 20:00:19 954],126.0,0.0233,0.0322
21,2541.302,[2023-09-08 20:00:20 954],127.0,0.079,0.1084
22,2542.302,[2023-09-08 20:00:21 954],127.0,0.0623,0.0801
23,2543.302,[2023-09-08 20:00:22 954],127.0,0.1751,0.198
24,2544.302,[2023-09-08 20:00:23 954],127.0,0.0096,0.0124
25,2545.302,[2023-09-08 20:00:24 954],127.0,0.0158,0.0218
26,2546.302,[2023-09-08 20:00:25 954],127.0,0.0169,0.0237
27,2547.302,[2023-09-08 20:00:26 954],126.0,0.0277,0.0333
28,2548.302,[2023-09-08 20:00:27 954],126.0,0.0271,0.0357
29,2549.302,[2023-09-08 20:00:28 954],126.0,0.0158,0.0199
30,2550.302,[2023-09-08 20:00:29 954],126.0,0.1165,0.1515
31,2551.302,[2023-09-08 20:00:30 954],125.0,0.0681,0.09
32,2552.302,[2023-09-08 20:00:31 954],123.0,0.0277,0.0447
33,2553.302,[2023-09-08 20:00:32 954],123.0,0.0186,0.0262
34,2554.302,[2023-09-08 20:00:33 954],123.0,0.0148,0.0217
35,2555.302,[2023-09-08 20:00:34 954],123.0,0.0096,0.0149
36,2556.302,[2023-09-08 20:00:35 954],122.0,0.0333,0.0406
37,2557.302,[2023-09-08 20:00:36 954],120.0,0.0163,0.0237
38,2558.302,[2023-09-08 20:00:37 954],119.0,0.0151,0.0206
39,2559.302,[2023-09-08 20:00:38 954],119.0,0.0118,0.0142
40,2560.302,[2023-09-08 20:00:39 954],120.0,0.0116,0.0165
41,2561.302,[2023-09-08 20:00:40 954],121.0,0.0128,0.0189
42,2562.302,[2023-09-08 20:00:41 954],121.0,0.016,0.0199
43,2563.302,[2023-09-08 20:00:42 954],120.0,0.0211,0.0253
44,2564.302,[2023-09-08 20:00:43 954],120.0,0.0236,0.0327
45,2565.302,[2023-09-08 20:00:44 954],120.0,0.0168,0.0242
46,2566.302,[2023-09-08 20:00:45 954],119.0,0.0141,0.0174
47,2567.302,[2023-09-08 20:00:46 954],118.0,0.0101,0.0129
48,2568.302,[2023-09-08 20:00:47 954],118.0,0.0059,0.0072
49,2569.302,[2023-09-08 20:00:48 954],118.0,0.0103,0.0143
50,2570.302,[2023-09-08 20:00:49 954],118.0,0.0087,0.0115
51,2571.302,[2023-09-08 20:00:50 954],118.0,0.0158,0.0215
52,2572.302,[2023-09-08 20:00:51 954],118.0,0.01,0.0143
53,2573.302,[2023-09-08 20:00:52 954],118.0,0.0114,0.0161
54,2574.302,[2023-09-08 20:00:53 954],118.0,0.0153,0.023
