,seconds,date,hr,diff
0,98.302,[2023-09-08 19:20:31 439],80.0,
1,98.802,[2023-09-08 19:20:31 939],80.0,0.5
2,99.302,[2023-09-08 19:20:32 439],81.0,0.5
3,99.802,[2023-09-08 19:20:32 939],82.0,0.5
4,100.302,[2023-09-08 19:20:33 439],84.0,0.5
5,100.802,[2023-09-08 19:20:33 939],84.0,0.5
6,101.302,[2023-09-08 19:20:34 439],86.0,0.5
7,101.802,[2023-09-08 19:20:34 939],86.0,0.5
8,102.302,[2023-09-08 19:20:35 439],88.0,0.5
9,102.802,[2023-09-08 19:20:35 939],88.0,0.5
10,103.302,[2023-09-08 19:20:36 439],89.0,0.5
11,103.802,[2023-09-08 19:20:36 939],88.0,0.5
12,104.302,[2023-09-08 19:20:37 439],88.0,0.5
13,104.802,[2023-09-08 19:20:37 939],89.0,0.5
14,105.302,[2023-09-08 19:20:38 439],89.0,0.5
15,105.802,[2023-09-08 19:20:38 939],89.0,0.5
16,106.302,[2023-09-08 19:20:39 439],89.0,0.5
17,106.802,[2023-09-08 19:20:39 939],88.0,0.5
18,107.302,[2023-09-08 19:20:40 439],88.0,0.5
19,107.802,[2023-09-08 19:20:40 939],88.0,0.5
20,108.302,[2023-09-08 19:20:41 439],87.0,0.5
21,108.802,[2023-09-08 19:20:41 939],86.0,0.5
22,109.302,[2023-09-08 19:20:42 439],85.0,0.5
23,109.802,[2023-09-08 19:20:42 939],85.0,0.5
24,110.302,[2023-09-08 19:20:43 439],85.0,0.5
25,110.802,[2023-09-08 19:20:43 939],85.0,0.5
26,111.302,[2023-09-08 19:20:44 439],85.0,0.5
27,111.802,[2023-09-08 19:20:44 939],85.0,0.5
28,112.302,[2023-09-08 19:20:45 439],85.0,0.5
29,112.802,[2023-09-08 19:20:45 939],85.0,0.5
30,113.302,[2023-09-08 19:20:46 439],85.0,0.5
31,113.802,[2023-09-08 19:20:46 939],84.0,0.5
32,114.302,[2023-09-08 19:20:47 439],84.0,0.5
33,114.802,[2023-09-08 19:20:47 939],83.0,0.5
34,115.302,[2023-09-08 19:20:48 439],83.0,0.5
35,115.802,[2023-09-08 19:20:48 939],82.0,0.5
36,116.302,[2023-09-08 19:20:49 439],82.0,0.5
37,116.802,[2023-09-08 19:20:49 939],81.0,0.5
38,117.302,[2023-09-08 19:20:50 439],81.0,0.5
